Evolving 30 sharks over 10000 generations (max_steps=200, lives=3, mutation_rate=0.2, seed=0)...

  Gen |  Size |  Speed | Caution |  Fitness
  157 | 7.707 |  5.718 |   0.525 | -10.3333
  158 | 7.528 |  4.667 |   0.525 | -10.1000
  159 | 7.911 |  6.194 |   0.521 | -15.2667
  160 | 7.755 |  5.475 |   0.614 | -25.5000
  161 | 7.828 |  5.019 |   0.557 | -24.6667
  162 | 7.897 |  4.940 |   0.563 | -16.1000
  163 | 7.557 |  5.317 |   0.521 |  23.8667
  164 | 7.485 |  4.706 |   0.514 | -18.4333
  165 | 7.563 |  5.221 |   0.518 |  -4.1667
  166 | 7.797 |  4.044 |   0.455 |  -7.4667
  167 | 7.732 |  4.488 |   0.482 |  -1.9667
  168 | 7.920 |  4.373 |   0.518 | -35.1000
  169 | 8.073 |  4.075 |   0.430 |  -4.8667
  170 | 7.416 |  4.559 |   0.490 |  -5.8667
  171 | 7.693 |  4.774 |   0.573 |  -1.6667
  172 | 7.511 |  4.684 |   0.508 |  -8.1000
  173 | 7.756 |  4.388 |   0.477 |   3.0333
  174 | 7.522 |  4.603 |   0.458 |   3.0000
  175 | 7.917 |  4.281 |   0.525 |  13.1667
  176 | 7.646 |  4.369 |   0.416 |   6.0000
  177 | 7.896 |  3.700 |   0.489 |  -5.4000
  178 | 7.736 |  4.438 |   0.517 |  20.9667
  179 | 7.632 |  4.330 |   0.396 |   6.2333
  180 | 8.076 |  4.419 |   0.432 |  -0.6667
  181 | 7.726 |  4.470 |   0.597 |   9.4000
  182 | 7.787 |  4.698 |   0.508 |  10.2333
  183 | 7.778 |  4.726 |   0.562 |   8.4333
  184 | 7.836 |  4.801 |   0.666 |  -0.9333
  185 | 7.797 |  4.774 |   0.660 | -18.6333
  186 | 7.642 |  4.421 |   0.574 | -16.5000
  187 | 8.247 |  4.713 |   0.444 |  12.3333
  188 | 7.903 |  4.566 |   0.497 | -19.4000
  189 | 7.891 |  4.697 |   0.468 |  -0.7667
  190 | 7.851 |  3.844 |   0.477 |  -6.6333
  191 | 7.936 |  4.519 |   0.454 | -12.8333
  192 | 7.936 |  4.519 |   0.454 |  -2.9000
  193 | 7.145 |  4.315 |   0.393 |  25.4000
  194 | 7.947 |  4.538 |   0.453 |  -7.6333
  195 | 7.993 |  4.511 |   0.427 |  13.1667
  196 | 7.119 |  4.371 |   0.429 |  16.6667
  197 | 7.881 |  4.519 |   0.261 |   9.5667
  198 | 7.704 |  5.425 |   0.339 |   0.9333
  199 | 7.268 |  5.255 |   0.352 |  -6.6000
  200 | 7.864 |  4.948 |   0.455 | -13.9667
  201 | 8.199 |  4.063 |   0.445 | -13.8000
  202 | 7.721 |  4.846 |   0.328 |   1.9333
  203 | 8.045 |  5.119 |   0.398 |  -2.0667
  204 | 7.813 |  5.283 |   0.341 |   1.3000
  205 | 7.657 |  5.393 |   0.453 |  27.2000
  206 | 8.070 |  5.149 |   0.379 |   2.2333
  207 | 7.682 |  5.062 |   0.394 |  -1.9667
  208 | 8.431 |  5.612 |   0.410 |  23.9333
  209 | 7.535 |  4.489 |   0.370 | -13.6333
  210 | 7.738 |  5.217 |   0.393 |   5.4000
  211 | 7.856 |  4.550 |   0.341 | -10.2667
  212 | 7.692 |  5.173 |   0.395 |  -7.3000
  213 | 7.814 |  5.370 |   0.394 | -20.9667
  214 | 7.177 |  5.245 |   0.387 | -25.8333
  215 | 6.997 |  4.825 |   0.360 |  -9.9000
  216 | 7.575 |  4.951 |   0.391 |  -7.7333
  217 | 7.302 |  4.891 |   0.509 |  41.8333
  218 | 7.354 |  4.973 |   0.372 | -16.2000
  219 | 7.449 |  4.878 |   0.391 |  16.2000
  220 | 6.649 |  4.774 |   0.290 |   3.7333
  221 | 6.758 |  4.778 |   0.300 |  -6.9333
  222 | 7.210 |  4.628 |   0.289 |   0.3000
  223 | 7.367 |  4.630 |   0.349 |   9.2333
  224 | 6.567 |  5.522 |   0.343 |   6.6333
  225 | 6.722 |  5.459 |   0.347 | -12.9333
  226 | 6.948 |  5.275 |   0.239 |   9.1333
  227 | 6.918 |  4.715 |   0.344 |  -2.2333
  228 | 7.496 |  4.522 |   0.397 |   1.1667
  229 | 7.148 |  5.243 |   0.283 |  45.3667
  230 | 7.303 |  4.542 |   0.461 |   9.3667
  231 | 6.894 |  4.392 |   0.407 |  -3.7000
  232 | 7.190 |  4.501 |   0.446 |  -2.9667
  233 | 6.996 |  4.515 |   0.395 |  19.2333
  234 | 7.171 |  4.549 |   0.422 |   7.4000
  235 | 6.792 |  4.520 |   0.385 |  14.8333
  236 | 6.811 |  4.521 |   0.385 |  28.7000
  237 | 6.774 |  5.283 |   0.381 |  31.4667
  238 | 6.787 |  4.933 |   0.383 |  -3.4333
  239 | 6.924 |  3.728 |   0.437 |   2.8667
  240 | 6.990 |  4.778 |   0.514 |  11.3667
  241 | 6.853 |  4.798 |   0.423 |  16.4333
  242 | 6.909 |  5.487 |   0.471 |   0.0333
  243 | 6.834 |  4.725 |   0.452 |  -2.6667
  244 | 7.063 |  4.220 |   0.500 |  13.2667
  245 | 6.838 |  4.719 |   0.479 |  38.0000
  246 | 6.850 |  4.815 |   0.477 | -10.0000
  247 | 6.813 |  4.775 |   0.478 |   7.7667
  248 | 6.908 |  4.821 |   0.463 |  14.1667
  249 | 6.740 |  4.817 |   0.459 |   9.3667
  250 | 7.209 |  5.338 |   0.421 |  20.5000
  251 | 6.848 |  4.897 |   0.496 |  47.9333
  252 | 6.848 |  4.897 |   0.496 |   2.3333
  253 | 6.843 |  4.963 |   0.474 |   8.0333
  254 | 7.049 |  4.825 |   0.489 |  20.7333
  255 | 7.036 |  4.294 |   0.665 |  -7.1667
  256 | 7.037 |  4.639 |   0.491 |  15.8333
  257 | 7.004 |  4.148 |   0.458 |  34.9667
  258 | 7.656 |  4.934 |   0.471 |  32.3000
  259 | 6.998 |  4.265 |   0.521 | -16.0000
  260 | 6.733 |  4.379 |   0.473 |   5.7667
  261 | 6.748 |  4.205 |   0.458 | -11.7000
  262 | 6.947 |  4.676 |   0.522 |  -4.0333
  263 | 6.800 |  4.521 |   0.463 |   4.8667
  264 | 6.789 |  5.019 |   0.458 | -11.3667
  265 | 7.107 |  4.559 |   0.485 |  13.4333
  266 | 7.050 |  4.623 |   0.484 |  10.6333
  267 | 6.509 |  4.086 |   0.465 |  15.6333
  268 | 6.813 |  4.859 |   0.396 |  -2.2333
  269 | 7.008 |  4.708 |   0.468 |   2.1667
  270 | 6.772 |  4.194 |   0.464 |  15.8667
  271 | 6.777 |  4.206 |   0.464 |  14.1333
  272 | 6.852 |  4.251 |   0.443 |   9.2000
  273 | 6.834 |  4.629 |   0.347 | -11.5000
  274 | 6.834 |  4.629 |   0.347 |   1.9667
  275 | 6.897 |  3.978 |   0.414 |  23.3333
  276 | 6.866 |  4.250 |   0.417 |   8.7333
  277 | 6.867 |  4.691 |   0.565 |  17.3000
  278 | 7.209 |  4.730 |   0.379 |  21.2000
  279 | 6.884 |  4.457 |   0.364 |  10.2667
  280 | 6.856 |  4.419 |   0.388 |  18.5333
  281 | 6.926 |  4.448 |   0.382 |   1.7333
  282 | 6.926 |  4.567 |   0.382 |  13.4333
  283 | 7.511 |  4.723 |   0.368 |  13.1000
  284 | 6.932 |  4.369 |   0.380 |  20.5667
  285 | 7.181 |  4.867 |   0.495 |  23.6000
  286 | 7.201 |  4.822 |   0.451 |   7.9333
  287 | 8.111 |  4.586 |   0.442 |  16.4333
  288 | 7.876 |  4.625 |   0.432 |   2.1667
  289 | 6.806 |  4.460 |   0.291 |  12.3333
  290 | 7.061 |  4.502 |   0.323 |   1.5333
  291 | 7.065 |  5.170 |   0.421 |   8.0667
  292 | 7.318 |  4.307 |   0.305 |   5.3333
  293 | 7.293 |  4.629 |   0.374 | -12.4333
  294 | 7.683 |  5.277 |   0.422 |   0.7000
  295 | 7.528 |  5.263 |   0.390 |  24.5333
  296 | 6.777 |  4.453 |   0.376 |  18.5333
  297 | 7.151 |  3.958 |   0.521 | -14.0000
  298 | 6.899 |  4.412 |   0.405 |  19.4667
  299 | 7.370 |  4.250 |   0.326 |  20.2667
  300 | 6.965 |  4.557 |   0.303 |  -1.9000
  301 | 7.002 |  4.270 |   0.443 |   8.4667
  302 | 7.219 |  4.411 |   0.420 |  13.4333
  303 | 7.051 |  4.430 |   0.450 |  27.8667
  304 | 7.036 |  4.492 |   0.443 |   0.0333
  305 | 6.956 |  4.177 |   0.451 |  10.1333
  306 | 7.422 |  4.802 |   0.402 |  12.2333
  307 | 7.085 |  4.390 |   0.435 |  -0.4000
  308 | 7.328 |  4.138 |   0.411 |  20.1667
  309 | 7.391 |  4.355 |   0.364 |  -1.9667
  310 | 7.422 |  4.455 |   0.309 | -15.2667
  311 | 7.465 |  4.153 |   0.355 |  19.5000
  312 | 7.454 |  4.161 |   0.384 | -12.5000
  313 | 8.116 |  4.605 |   0.369 | -11.5000
  314 | 8.022 |  4.530 |   0.253 |   0.3000
  315 | 7.579 |  4.637 |   0.348 |  11.8667
  316 | 7.981 |  4.973 |   0.265 |   3.6000
  317 | 8.033 |  3.960 |   0.361 |  15.4667
  318 | 8.098 |  4.468 |   0.165 |  29.5667
  319 | 8.094 |  5.256 |   0.261 |  13.9667
  320 | 8.100 |  4.334 |   0.353 |  40.6333
  321 | 8.100 |  4.334 |   0.353 |   7.4333
  322 | 8.066 |  5.052 |   0.250 |  -6.7667
  323 | 8.785 |  4.557 |   0.252 |  -3.0667
  324 | 8.280 |  5.231 |   0.209 | -16.4333
  325 | 8.406 |  5.260 |   0.389 |  -7.5333
  326 | 7.832 |  4.758 |   0.357 | -10.1000
  327 | 7.572 |  4.759 |   0.342 |  -2.5333
  328 | 7.616 |  4.759 |   0.327 |  -0.1667
  329 | 8.631 |  4.903 |   0.140 |  -6.3333
  330 | 7.727 |  5.197 |   0.273 |  -5.1333
  331 | 8.181 |  4.933 |   0.227 |  11.9333
  332 | 8.315 |  4.960 |   0.227 |  19.7667
  333 | 8.366 |  4.811 |   0.219 |  22.5333
  334 | 8.229 |  4.981 |   0.217 |  33.1667
  335 | 8.336 |  5.184 |   0.215 |  -1.1333
  336 | 8.074 |  4.966 |   0.217 |  13.9000
  337 | 8.100 |  4.946 |   0.211 |  10.9333
  338 | 7.920 |  4.972 |   0.231 |  20.8333
  339 | 8.646 |  5.112 |   0.319 |  21.1333
  340 | 8.646 |  5.112 |   0.319 |  14.9000
  341 | 8.470 |  4.616 |   0.262 |   0.2000
  342 | 8.248 |  5.316 |   0.292 |   4.1667
  343 | 8.444 |  5.180 |   0.288 |  13.6000
  344 | 8.970 |  5.199 |   0.329 |  15.4000
  345 | 8.784 |  5.574 |   0.287 |   4.1000
  346 | 7.768 |  4.867 |   0.294 |  13.6667
  347 | 8.142 |  5.037 |   0.253 |  21.8333
  348 | 8.220 |  4.799 |   0.304 |  -0.3000
  349 | 8.220 |  4.799 |   0.304 |  21.5000
