episode,reward,steps,epsilon
348.0,-88.3000000000001,135.0,0.17475600159032884
349.0,-20.000000000000014,200.0,0.17388222158237718
350.0,-20.000000000000014,200.0,0.1730128104744653
351.0,-105.0,51.0,0.17214774642209296
352.0,5.100000000000055,200.0,0.1712870076899825
353.0,-116.49999999999997,166.0,0.17043057265153258
354.0,5.099999999999952,200.0,0.16957841978827493
355.0,-93.20000000000007,184.0,0.16873052768933355
356.0,5.0999999999999694,200.0,0.1678868750508869
357.0,5.099999999999941,200.0,0.16704744067563246
358.0,-89.10000000000008,143.0,0.1662122034722543
359.0,-39.40000000000007,146.0,0.16538114245489302
360.0,-108.39999999999999,85.0,0.16455423674261854
361.0,-61.89999999999998,120.0,0.16373146555890544
362.0,-66.79999999999997,169.0,0.16291280823111093
363.0,-100.9,10.0,0.16209824418995536
364.0,-20.000000000000014,200.0,0.16128775296900558
365.0,-20.000000000000014,200.0,0.16048131420416054
366.0,-89.59999999999997,148.0,0.15967890763313974
367.0,-20.000000000000014,200.0,0.15888051309497406
368.0,-100.7,8.0,0.1580861105294992
369.0,-100.9,10.0,0.1572956799768517
370.0,-119.4,195.0,0.15650920157696743
371.0,5.100000000000016,200.0,0.1557266555690826
372.0,-107.89999999999999,80.0,0.1549480222912372
373.0,-20.000000000000014,200.0,0.15417328217978102
374.0,-20.000000000000014,200.0,0.1534024157688821
375.0,-104.4,45.0,0.1526354036900377
376.0,-104.2,43.0,0.1518722266715875
377.0,-114.29999999999997,144.0,0.15111286553822956
378.0,5.099999999999994,200.0,0.15035730121053842
379.0,-100.7,8.0,0.14960551470448571
380.0,-20.000000000000014,200.0,0.14885748713096328
381.0,-20.000000000000014,200.0,0.14811319969530845
382.0,-106.0,61.0,0.1473726336968319
383.0,-20.000000000000014,200.0,0.14663577052834775
384.0,-20.000000000000014,200.0,0.14590259167570602
385.0,-20.000000000000014,200.0,0.1451730787173275
386.0,-107.89999999999999,80.0,0.14444721332374086
387.0,-20.000000000000014,200.0,0.14372497725712216
388.0,-101.7,18.0,0.14300635237083656
389.0,-106.3,64.0,0.14229132060898236
390.0,-20.000000000000014,200.0,0.14157986400593744
391.0,-105.3,54.0,0.14087196468590776
392.0,-20.000000000000014,200.0,0.14016760486247823
393.0,-101.5,16.0,0.13946676683816583
394.0,5.100000000000026,200.0,0.138769433003975
395.0,-20.000000000000014,200.0,0.13807558583895513
396.0,-100.9,10.0,0.13738520790976036
397.0,-20.000000000000014,200.0,0.13669828187021155
398.0,5.100000000000042,200.0,0.13601479046086049
399.0,5.100000000000046,200.0,0.1353347165085562
400.0,-107.99999999999999,81.0,0.1346580429260134
401.0,-20.000000000000014,200.0,0.13398475271138335
402.0,-20.000000000000014,200.0,0.13331482894782642
403.0,-20.000000000000014,200.0,0.13264825480308728
404.0,5.100000000000055,200.0,0.13198501352907185
405.0,-20.000000000000014,200.0,0.1313250884614265
406.0,-20.000000000000014,200.0,0.13066846301911936
407.0,-20.000000000000014,200.0,0.13001512070402377
408.0,-20.000000000000014,200.0,0.12936504510050365
409.0,-20.000000000000014,200.0,0.12871821987500112
410.0,-20.000000000000014,200.0,0.12807462877562611
411.0,-20.000000000000014,200.0,0.12743425563174798
412.0,-63.999999999999964,141.0,0.12679708435358925
413.0,-20.000000000000014,200.0,0.1261630989318213
414.0,5.0999999999999375,200.0,0.1255322834371622
415.0,-20.000000000000014,200.0,0.12490462201997637
416.0,-20.000000000000014,200.0,0.1242800989098765
417.0,-20.000000000000014,200.0,0.12365869841532712
418.0,-20.000000000000014,200.0,0.12304040492325048
419.0,-106.69999999999999,68.0,0.12242520289863423
420.0,-20.000000000000014,200.0,0.12181307688414106
421.0,-103.2,33.0,0.12120401149972035
422.0,5.100000000000001,200.0,0.12059799144222175
423.0,-20.000000000000014,200.0,0.11999500148501063
424.0,-108.19999999999999,83.0,0.11939502647758558
425.0,-20.000000000000014,200.0,0.11879805134519765
426.0,-20.000000000000014,200.0,0.11820406108847166
427.0,-20.000000000000014,200.0,0.1176130407830293
428.0,-109.19999999999999,93.0,0.11702497557911415
429.0,-110.39999999999998,105.0,0.11643985070121858
430.0,-103.1,32.0,0.11585765144771248
431.0,-20.000000000000014,200.0,0.11527836319047392
432.0,5.1000000000000405,200.0,0.11470197137452155
433.0,-20.000000000000014,200.0,0.11412846151764894
434.0,-63.999999999999964,141.0,0.1135578192100607
435.0,-20.000000000000014,200.0,0.11299003011401039
436.0,-20.000000000000014,200.0,0.11242507996344034
437.0,5.099999999999998,200.0,0.11186295456362313
438.0,-106.69999999999999,68.0,0.11130363979080501
439.0,-20.000000000000014,200.0,0.11074712159185099
440.0,-20.000000000000014,200.0,0.11019338598389174
441.0,-20.000000000000014,200.0,0.10964241905397228
442.0,-20.000000000000014,200.0,0.10909420695870241
443.0,-118.29999999999998,184.0,0.1085487359239089
444.0,-106.39999999999999,65.0,0.10800599224428936
445.0,-106.19999999999999,63.0,0.10746596228306791
446.0,-102.6,27.0,0.10692863247165257
447.0,-106.89999999999999,70.0,0.1063939893092943
448.0,-106.1,62.0,0.10586201936274783
449.0,-20.000000000000014,200.0,0.10533270926593409
450.0,-20.000000000000014,200.0,0.10480604571960442
451.0,-20.000000000000014,200.0,0.1042820154910064
452.0,-20.000000000000014,200.0,0.10376060541355137
453.0,5.100000000000055,200.0,0.1032418023864836
454.0,5.100000000000042,200.0,0.10272559337455119
455.0,5.100000000000023,200.0,0.10221196540767843
456.0,5.09999999999998,200.0,0.10170090558064004
457.0,5.100000000000055,200.0,0.10119240105273684
458.0,5.100000000000026,200.0,0.10068643904747315
459.0,-102.4,25.0,0.10018300685223579
460.0,-20.000000000000014,200.0,0.0996820918179746
461.0,-20.000000000000014,200.0,0.09918368135888474
462.0,30.199999999999754,200.0,0.09868776295209031
463.0,-103.2,33.0,0.09819432413732986
464.0,-100.6,7.0,0.09770335251664321
465.0,-20.000000000000014,200.0,0.09721483575406
466.0,-110.39999999999998,105.0,0.09672876157528969
467.0,-111.39999999999998,115.0,0.09624511776741324
468.0,-113.99999999999997,141.0,0.09576389217857617
469.0,-67.19999999999997,173.0,0.09528507271768329
470.0,-20.000000000000014,200.0,0.09480864735409487
471.0,-20.000000000000014,200.0,0.0943346041173244
472.0,-101.1,12.0,0.09386293109673778
473.0,-20.000000000000014,200.0,0.09339361644125409
474.0,-101.8,19.0,0.09292664835904782
475.0,-20.000000000000014,200.0,0.09246201511725258
476.0,-105.6,57.0,0.09199970504166631
477.0,-102.9,30.0,0.09153970651645797
478.0,-20.000000000000014,200.0,0.09108200798387568
479.0,-20.000000000000014,200.0,0.0906265979439563
480.0,-113.19999999999997,133.0,0.09017346495423652
481.0,-20.000000000000014,200.0,0.08972259762946533
482.0,-20.000000000000014,200.0,0.089273984641318
483.0,-105.8,59.0,0.0888276147181114
484.0,-20.000000000000014,200.0,0.08838347664452084
485.0,5.100000000000055,200.0,0.08794155926129824
486.0,-20.000000000000014,200.0,0.08750185146499175
487.0,5.100000000000005,200.0,0.08706434220766679
488.0,-101.2,13.0,0.08662902049662846
489.0,-103.9,40.0,0.08619587539414532
490.0,-106.69999999999999,68.0,0.08576489601717459
491.0,-20.000000000000014,200.0,0.08533607153708872
492.0,-102.7,28.0,0.08490939117940327
493.0,5.099999999999996,200.0,0.08448484422350626
494.0,-20.000000000000014,200.0,0.08406242000238873
495.0,-20.000000000000014,200.0,0.08364210790237678
496.0,-20.000000000000014,200.0,0.0832238973628649
497.0,-20.000000000000014,200.0,0.08280777787605056
498.0,5.099999999999962,200.0,0.08239373898667031
499.0,-20.000000000000014,200.0,0.08198177029173696
500.0,-20.000000000000014,200.0,0.08157186144027828
501.0,-20.000000000000014,200.0,0.0811640021330769
502.0,-20.000000000000014,200.0,0.08075818212241151
503.0,-20.000000000000014,200.0,0.08035439121179945
504.0,-20.000000000000014,200.0,0.07995261925574046
505.0,-109.99999999999999,101.0,0.07955285615946175
506.0,-20.000000000000014,200.0,0.07915509187866444
507.0,-20.000000000000014,200.0,0.07875931641927113
508.0,-20.000000000000014,200.0,0.07836551983717477
509.0,-115.39999999999996,155.0,0.07797369223798889
510.0,-102.9,30.0,0.07758382377679894
511.0,5.099999999999998,200.0,0.07719590465791494
512.0,-20.000000000000014,200.0,0.07680992513462537
513.0,-20.000000000000014,200.0,0.07642587550895225
514.0,-107.19999999999999,73.0,0.07604374613140748
515.0,-107.69999999999999,78.0,0.07566352740075044
516.0,-20.000000000000014,200.0,0.07528520976374668
517.0,-20.000000000000014,200.0,0.07490878371492794
518.0,-20.000000000000014,200.0,0.0745342397963533
519.0,-20.000000000000014,200.0,0.07416156859737154
520.0,-20.000000000000014,200.0,0.07379076075438468
521.0,5.100000000000055,200.0,0.07342180695061275
522.0,30.199999999999818,200.0,0.07305469791585968
523.0,5.100000000000055,200.0,0.07268942442628039
524.0,5.100000000000012,200.0,0.07232597730414898
525.0,-20.000000000000014,200.0,0.07196434741762824
526.0,-20.000000000000014,200.0,0.0716045256805401
527.0,-114.39999999999996,145.0,0.0712465030521374
528.0,-103.5,36.0,0.0708902705368767
529.0,-110.69999999999997,108.0,0.07053581918419231
530.0,-20.000000000000014,200.0,0.07018314008827135
531.0,5.100000000000055,200.0,0.06983222438783
532.0,5.100000000000055,200.0,0.06948306326589085
533.0,-20.000000000000014,200.0,0.0691356479495614
534.0,5.100000000000019,200.0,0.06878996970981359
535.0,5.0999999999999766,200.0,0.06844601986126451
536.0,-94.39999999999995,196.0,0.06810378976195819
537.0,-114.29999999999997,144.0,0.0677632708131484
538.0,-20.000000000000014,200.0,0.06742445445908266
539.0,-20.000000000000014,200.0,0.06708733218678724
540.0,-20.000000000000014,200.0,0.0667518955258533
541.0,-20.000000000000014,200.0,0.06641813604822402
542.0,-20.000000000000014,200.0,0.0660860453679829
543.0,-110.99999999999997,111.0,0.06575561514114299
544.0,-20.000000000000014,200.0,0.06542683706543727
545.0,-20.000000000000014,200.0,0.06509970288011008
546.0,-102.0,21.0,0.06477420436570952
547.0,5.099999999999987,200.0,0.06445033334388098
548.0,-101.6,17.0,0.06412808167716157
549.0,-20.000000000000014,200.0,0.06380744126877576
550.0,-101.8,19.0,0.06348840406243188
551.0,-100.9,10.0,0.06317096204211972
552.0,-20.000000000000014,200.0,0.06285510723190912
553.0,-108.29999999999998,84.0,0.06254083169574957
554.0,-20.000000000000014,200.0,0.062228127537270826
555.0,-20.000000000000014,200.0,0.06191698689958447
556.0,-109.89999999999998,100.0,0.061607401965086545
557.0,-20.000000000000014,200.0,0.06129936495526111
558.0,-106.3,64.0,0.0609928681304848
559.0,-103.4,35.0,0.060687903789832374
560.0,-115.99999999999996,161.0,0.06038446427088321
561.0,-110.49999999999997,106.0,0.06008254194952879
562.0,-20.000000000000014,200.0,0.05978212923978115
563.0,-67.49999999999997,176.0,0.05948321859358224
564.0,-20.000000000000014,200.0,0.05918580250061433
565.0,-82.20000000000003,74.0,0.058889873488111255
566.0,-105.89999999999999,60.0,0.058595424120670696
567.0,-108.49999999999999,86.0,0.05830244700006734
568.0,-102.3,24.0,0.058010934765067
569.0,-104.3,44.0,0.05772088009124167
